SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
AARTIDRUGS, EQ, 09-Jan-2023,446.05,450,451,445,447.3,446.15,448.03,30318,135.83,3559,14309,47.2
AARTIIND, EQ, 09-Jan-2023,599.05,602.75,604.75,597.05,600.2,600.05,600.37,310406,1863.59,10591,133472,43
AARTISURF, EQ, 09-Jan-2023,637.15,637.15,644.95,624,634,636.7,634.18,11048,70.06,837,7247,65.6
AARVEEDEN, EQ, 09-Jan-2023,26,27.15,27.15,24.4,24.8,25.05,25.71,30555,7.86,331,16670,54.56
AARVI, EQ, 09-Jan-2023,168,173.8,175,166.05,167,167.75,170.83,19997,34.16,538,12462,62.32
AAVAS, EQ, 09-Jan-2023,1746.8,1768.4,1799,1715.35,1792,1781.35,1781.91,67714,1206.6,12354,30072,44.41
ABAN, EQ, 09-Jan-2023,48.2,48.5,48.75,48,48.45,48.4,48.37,79990,38.69,1053,44299,55.38
ABB, EQ, 09-Jan-2023,2843.6,2861.05,2882.35,2830.65,2856.85,2862.1,2858.55,179843,5140.9,21903,65318,36.32
ABBOTINDIA, EQ, 09-Jan-2023,22328.05,22360,22499,22060.95,22317.05,22263.1,22265.12,35850,7982.04,5334,28221,78.72
ABCAPITAL, EQ, 09-Jan-2023,145.3,146.7,147.2,145.15,146.55,146.6,146.17,2049941,2996.34,18212,822243,40.11
ABCOTS, SM, 09-Jan-2023,49.85,49.9,49.9,49,49,49,49.45,8000,3.96,2,4000,50
ABFRL, EQ, 09-Jan-2023,277.55,279.35,280.45,271.5,273.85,273.7,274.26,2481467,6805.72,30797,1344308,54.17
ABINFRA, SM, 09-Jan-2023,11.9,12.45,12.45,12.45,12.45,12.45,12.45,4000,0.5,1,4000,100
ABSLAMC, EQ, 09-Jan-2023,448.6,452.95,454.25,447.2,453.65,450.7,450.74,156915,707.28,2252,129092,82.27
ABSLBANETF, EQ, 09-Jan-2023,42.34,43.21,43.21,42.35,42.61,42.72,42.75,3558321,1521.18,689,3550312,99.77
ABSLNN50ET, EQ, 09-Jan-2023,43.11,43.16,43.46,42.8,43.25,43.22,43.12,1095,0.47,180,568,51.87
ACC, EQ, 09-Jan-2023,2415.95,2428.05,2471.35,2425.5,2468.7,2464.65,2460.89,291084,7163.27,25989,107645,36.98
ACCELYA, EQ, 09-Jan-2023,1407,1418,1441.7,1409.35,1420,1420,1422.88,11741,167.06,2726,3222,27.44
ACCORD, SM, 09-Jan-2023,33.4,31.75,33.4,31.75,32,32,32.3,8000,2.58,4,6000,75
ACCURACY, EQ, 09-Jan-2023,160.4,168,185.9,164.15,179.7,179.6,179.23,270205,484.28,7104,82061,30.37
ACE, EQ, 09-Jan-2023,312.3,315,321.95,310.25,318,317.75,316.64,594703,1883.04,17165,224288,37.71
ACEINTEG, EQ, 09-Jan-2023,55.2,55.2,55.2,53.25,53.6,53.6,53.91,1625,0.88,36,650,40
ACI, EQ, 09-Jan-2023,562.3,565.15,577.8,558.3,564.9,562.5,567.31,166981,947.3,8034,70763,42.38
ADANIENT, EQ, 09-Jan-2023,3824.25,3843,3880,3811.25,3853,3855.3,3850.6,753981,29032.81,42423,181443,24.06
ADANIGREEN, EQ, 09-Jan-2023,1838.25,1851,1905,1847.05,1886,1891.45,1877.56,568005,10664.66,30073,221285,38.96
ADANIPORTS, EQ, 09-Jan-2023,806.1,810.45,820.25,809.1,817,816.65,815.39,2040072,16634.5,43195,447501,21.94
ADANIPOWER, EQ, 09-Jan-2023,283.4,286.95,294,285.2,288,287.7,288.67,1770223,5110.08,35483,862749,48.74
ADANITRANS, EQ, 09-Jan-2023,2523.35,2535.95,2635,2532,2602,2614.5,2579.99,375283,9682.28,27607,104730,27.91
ADFFOODS, EQ, 09-Jan-2023,715.3,715.6,769.4,715.6,756.9,752.15,738.01,23039,170.03,2950,8650,37.55
ADL, BE, 09-Jan-2023,62.15,62,62.45,59.3,62.4,62.4,60.53,861,0.52,27, -, -
ADORWELD, EQ, 09-Jan-2023,833.85,848,848,827.1,829.5,830.75,836.8,5234,43.8,971,2053,39.22
ADROITINFO, EQ, 09-Jan-2023,22.4,22.95,23.5,22,22.7,22.85,22.65,44936,10.18,276,34410,76.58
ADSL, EQ, 09-Jan-2023,92.9,94.2,94.2,92.45,93,93.25,93.4,38252,35.73,699,19788,51.73
ADVANIHOTR, EQ, 09-Jan-2023,80.25,81.45,81.45,80.1,80.75,80.4,80.55,14870,11.98,269,9934,66.81
ADVENZYMES, EQ, 09-Jan-2023,278.1,279.5,281.7,278.7,280.75,280.2,280.31,28617,80.22,2238,14078,49.19
AEGISCHEM, EQ, 09-Jan-2023,341.85,347,362.4,345.25,352.55,352.15,355.82,1844673,6563.65,39282,629468,34.12
AETHER, EQ, 09-Jan-2023,842.25,862.4,914,850.15,884,881.15,890.27,117340,1044.64,9485,27217,23.19
AFFLE, EQ, 09-Jan-2023,1055.3,1064,1068.6,1040,1044.05,1045.55,1053.77,104067,1096.63,12175,46820,44.99
AGARIND, EQ, 09-Jan-2023,585.45,594.9,598,579,579.2,580.9,585.89,21841,127.96,1753,14330,65.61
AGI, EQ, 09-Jan-2023,325.9,330.7,331.7,325,327.8,326.15,328.49,48959,160.82,2141,23969,48.96
AGNI, SM, 09-Jan-2023,22.95,21.85,21.85,21.85,21.85,21.85,21.85,20000,4.37,2,20000,100
AGRITECH, EQ, 09-Jan-2023,102.4,103.9,106.75,101.25,101.65,102.65,103.65,9965,10.33,302,5978,59.99
AGROPHOS, EQ, 09-Jan-2023,44.65,45.5,45.7,43.4,43.4,43.75,44.54,70082,31.21,614,41326,58.97
AGSTRA, EQ, 09-Jan-2023,68.05,68.75,69.3,67,67.5,67.25,68.25,360365,245.96,3360,172280,47.81
AHL, EQ, 09-Jan-2023,180.95,181.95,187.9,181.95,184,185.05,184.85,90520,167.33,3306,44940,49.65
AHLADA, EQ, 09-Jan-2023,100.55,103.7,105.55,100.9,105.55,105.55,104.2,12921,13.46,192,10552,81.67
AHLEAST, EQ, 09-Jan-2023,115,116.4,116.4,113.15,113.2,114.9,114.98,3957,4.55,82,3244,81.98
AHLUCONT, EQ, 09-Jan-2023,509,516.65,520,512,520,517.95,515.8,23782,122.67,1904,19064,80.16
AIAENG, EQ, 09-Jan-2023,2510.3,2510.3,2559.85,2503.1,2539,2537.9,2544.14,66267,1685.92,14409,43623,65.83
AILIMITED, SM, 09-Jan-2023,33.4,35,35,35,35,35,35,3000,1.05,1,3000,100
AIRAN, EQ, 09-Jan-2023,16.45,16.8,16.8,16.35,16.55,16.55,16.55,58055,9.61,445,37582,64.74
AIROLAM, EQ, 09-Jan-2023,82.05,84,87,82.65,86.65,86.5,85.54,21391,18.3,293,10004,46.77
AIRTELPP, E1, 09-Jan-2023,422.25,426,443,425.1,436.1,438.05,438.04,325491,1425.79,6765,261613,80.37
AISL, SM, 09-Jan-2023,56,56,56,56,56,56,56,4800,2.69,1,4800,100
AJANTPHARM, EQ, 09-Jan-2023,1187.2,1193.1,1197.2,1179.05,1180,1182.1,1185.65,14465,171.5,3907,7364,50.91
AJMERA, EQ, 09-Jan-2023,311.15,315,328,313.9,319.5,319.25,320.85,352440,1130.81,14365,85366,24.22
AJOONI, EQ, 09-Jan-2023,6.8,7,7,6.7,6.8,6.7,6.81,2394571,163.15,1925,1134027,47.36
AJRINFRA, EQ, 09-Jan-2023,1.4,1.45,1.45,1.4,1.45,1.4,1.42,408631,5.79,275,220439,53.95
AKASH, EQ, 09-Jan-2023,30.1,30.1,30.75,28.6,29.15,29.5,29.7,46854,13.92,409,21882,46.7
AKG, EQ, 09-Jan-2023,36.5,37.55,37.95,36.6,37.3,37,37.26,14484,5.4,106,10667,73.65
AKG-RE, BE, 09-Jan-2023,18.15,17.8,18.5,17.1,17.75,17.65,17.59,62903,11.07,96, -, -
AKSHAR, BE, 09-Jan-2023,54.6,53.55,53.55,53.55,53.55,53.55,53.55,1996,1.07,10, -, -
AKSHARCHEM, EQ, 09-Jan-2023,282.5,285.15,285.15,274,274,275.7,279.45,6570,18.36,1006,3152,47.98
AKSHOPTFBR, EQ, 09-Jan-2023,11,11.25,11.25,10.9,10.9,10.95,11.02,285162,31.43,514,222584,78.06
AKZOINDIA, EQ, 09-Jan-2023,2211.05,2215.05,2225.95,2160.1,2160.1,2169.65,2187.25,6491,141.97,1942,4191,64.57
ALANKIT, EQ, 09-Jan-2023,10.75,10.95,10.95,10.5,10.55,10.6,10.69,115707,12.37,557,74282,64.2
ALBERTDAVD, EQ, 09-Jan-2023,569.4,576.8,576.8,564.85,573,572.15,572.68,1053,6.03,153,709,67.33
ALEMBICLTD, EQ, 09-Jan-2023,70.85,71.55,72,70.25,70.75,70.65,71.02,102802,73.01,1331,54338,52.86
ALICON, EQ, 09-Jan-2023,939.15,953.25,953.25,932.55,932.55,937.55,938.32,3877,36.38,910,1641,42.33
ALKALI, EQ, 09-Jan-2023,167.65,169.5,172.7,158.55,159,159.8,164.29,189869,311.94,5236,93855,49.43
ALKEM, EQ, 09-Jan-2023,3031.35,3047.3,3068.85,3038.05,3047,3049.9,3052.38,44243,1350.46,7626,23725,53.62
ALKYLAMINE, EQ, 09-Jan-2023,2718.45,2730,2738.95,2675,2689,2683.1,2708.2,14605,395.53,4172,7156,49
ALLCARGO, EQ, 09-Jan-2023,400.65,402.55,404.45,398.3,399.95,400.05,401.11,258196,1035.65,6655,126252,48.9
ALLETEC, SM, 09-Jan-2023,125.35,125.35,128.95,122.4,124.1,124.55,125.91,110400,139.01,69,72000,65.22
ALLSEC, EQ, 09-Jan-2023,507.45,511.3,524.8,506.6,524.7,521.8,518.05,6777,35.11,777,4409,65.06
ALMONDZ, EQ, 09-Jan-2023,70.75,72.25,72.45,70,71.2,71,71.23,22806,16.25,1340,7808,34.24
ALOKINDS, BE, 09-Jan-2023,15.4,15.6,15.65,15.2,15.45,15.3,15.45,952070,147.1,2745, -, -
ALPA, EQ, 09-Jan-2023,62.45,63.45,63.45,60.35,60.5,60.75,61.61,49989,30.8,620,34721,69.46
ALPHAGEO, EQ, 09-Jan-2023,275.4,278,279.8,270,272.5,272.1,274.54,5166,14.18,502,3137,60.72
AMARAJABAT, EQ, 09-Jan-2023,585.9,587.8,592.9,575.15,582.6,580.2,584.05,440291,2571.51,13373,127340,28.92
AMBER, EQ, 09-Jan-2023,1904.45,1914,1923.35,1880.05,1890,1887.45,1899.16,17038,323.58,3586,8713,51.14
AMBICAAGAR, EQ, 09-Jan-2023,25.4,25.95,26,25.05,25.5,25.55,25.69,13151,3.38,112,7628,58
AMBIKCO, EQ, 09-Jan-2023,1523.6,1525,1549.95,1503.05,1518,1512.25,1526.57,10074,153.79,2020,4221,41.9
AMBUJACEM, EQ, 09-Jan-2023,519.8,523,527.5,520.65,524.6,524.75,524.74,1841059,9660.73,50728,585766,31.82
AMDIND, EQ, 09-Jan-2023,57.05,58.8,59.9,57.55,58.2,58.15,58.84,25555,15.04,301,13307,52.07
AMEYA, SM, 09-Jan-2023,44.6,44.6,45.1,44.6,45.1,45.05,44.86,20000,8.97,4,20000,100
AMIORG, EQ, 09-Jan-2023,945.9,948,952.1,925.5,930,928.15,939.96,41739,392.33,4033,24014,57.53
AMJLAND, EQ, 09-Jan-2023,29.2,29.5,30.1,28.5,29.7,29.5,29.69,48183,14.31,516,28734,59.64
AMRUTANJAN, EQ, 09-Jan-2023,708.5,710.35,716.6,705.3,713.9,710.15,711.23,11408,81.14,2046,7232,63.39
ANANDRATHI, EQ, 09-Jan-2023,741.65,752,759.95,742.1,748.2,754.4,750.99,137759,1034.55,7513,70683,51.31
ANANTRAJ, EQ, 09-Jan-2023,116.5,117.9,118.7,113.85,115.7,115.7,116.09,2560056,2971.92,9159,1147270,44.81
ANDHRACEMT, BE, 09-Jan-2023,6.55,6.4,6.5,6.25,6.3,6.25,6.28,323740,20.33,514, -, -
ANDHRAPAP, EQ, 09-Jan-2023,416.35,424.7,424.7,412,413,413.05,416.37,19261,80.2,1299,10395,53.97
ANDHRSUGAR, EQ, 09-Jan-2023,129.3,129.6,132.5,128.5,129.25,129.25,130.26,109093,142.1,2857,43898,40.24
ANDREWYU, EQ, 09-Jan-2023,25.9,26.3,27.45,26.3,26.85,26.65,26.82,308281,82.68,1516,150519,48.83
ANGELONE, EQ, 09-Jan-2023,1280.7,1305,1306.2,1281,1284,1284.9,1287.82,308628,3974.58,15573,168689,54.66
ANIKINDS, EQ, 09-Jan-2023,38.4,39.75,44.35,38.8,42.85,42.65,42.76,781149,334.05,5037,363123,46.49
ANKITMETAL, EQ, 09-Jan-2023,5.8,5.9,5.9,5.7,5.8,5.75,5.77,83399,4.81,302,48203,57.8
ANMOL, EQ, 09-Jan-2023,145.75,148.9,149.45,142,142,142.6,144.16,13142,18.95,277,11373,86.54
ANNAPURNA, SM, 09-Jan-2023,136,140,140,136,139.95,139.55,139.17,42000,58.45,20,24000,57.14
ANSALAPI, BE, 09-Jan-2023,15.2,14.45,14.45,14.45,14.45,14.45,14.45,1267,0.18,18, -, -
ANTGRAPHIC, EQ, 09-Jan-2023,0.8,0.8,0.85,0.75,0.85,0.8,0.8,804487,6.46,454,543899,67.61
ANUP, EQ, 09-Jan-2023,931.5,954.95,954.95,922.25,928,931.5,936.12,14136,132.33,1638,6861,48.54
ANURAS, EQ, 09-Jan-2023,689.45,692.65,692.65,684.6,690,687.8,688.84,34027,234.39,8319,22232,65.34
APARINDS, EQ, 09-Jan-2023,1840.65,1853.55,1865.3,1802,1808.9,1815.3,1824.79,78134,1425.78,11126,37585,48.1
APCL, EQ, 09-Jan-2023,204.9,206.85,208,206.25,207,207,207.06,7099,14.7,227,6023,84.84
APCL-RE, BE, 09-Jan-2023,5.6,5.6,6.7,4.8,5.4,4.9,5.48,46999,2.58,346, -, -
APCOTEXIND, EQ, 09-Jan-2023,456.95,460,462.9,455,456.05,457,459.33,16452,75.57,1531,10379,63.09
APEX, EQ, 09-Jan-2023,245.05,246.35,247.55,242.05,244.25,245,245.56,69283,170.13,2101,35496,51.23
APLAPOLLO, EQ, 09-Jan-2023,1119.6,1127.8,1137.6,1100.25,1111,1112.85,1119.86,666211,7460.65,37305,466793,70.07
APLLTD, EQ, 09-Jan-2023,561.3,564.85,567,558.6,562,561.3,561.82,46565,261.61,4079,28225,60.61
APOLLO, EQ, 09-Jan-2023,329.2,337.95,337.95,313.1,315.25,314.8,319.84,237503,759.63,8863,123729,52.1
APOLLOHOSP, EQ, 09-Jan-2023,4387.45,4424.35,4452.15,4381.05,4410,4407.7,4419.78,407803,18024.02,41076,250213,61.36
APOLLOPIPE, EQ, 09-Jan-2023,513.5,519,522.5,505,509.95,507.35,510.86,28347,144.81,2499,14044,49.54
APOLLOTYRE, EQ, 09-Jan-2023,327.75,330,331.9,323.75,326.6,327.2,326.57,3224407,10529.81,41127,976218,30.28
APOLSINHOT, EQ, 09-Jan-2023,1284.6,1241,1331.9,1241,1300,1276.25,1284.26,967,12.42,179,516,53.36
APTECHT, EQ, 09-Jan-2023,380.45,381.6,383.9,372.5,374.8,374.1,377.22,371384,1400.93,12863,114444,30.82
APTUS, EQ, 09-Jan-2023,301.8,303.9,308.25,301.8,305.95,306.05,305.84,80826,247.2,12401,53872,66.65
ARCHIDPLY, EQ, 09-Jan-2023,69.15,69.35,71.3,68.1,70.2,70.4,70.04,27249,19.09,688,16669,61.17
ARCHIES, EQ, 09-Jan-2023,24.05,24.15,25,24,24.25,24.05,24.31,19270,4.68,204,12853,66.7
ARENTERP, EQ, 09-Jan-2023,39.75,39.8,40.9,38.45,40.45,39.9,39.89,3497,1.39,112,2102,60.11
ARHAM, SM, 09-Jan-2023,74.8,75.1,76.65,68.4,73,73,71.77,114000,81.82,35,81000,71.05
ARIES, EQ, 09-Jan-2023,211.6,213.1,216,209.05,209.85,209.8,211.88,171767,363.95,4827,71421,41.58
ARIHANTACA, ST, 09-Jan-2023,120.95,122.7,122.7,114.95,119,118.8,117.73,40000,47.09,23,36800,92
ARIHANTCAP, EQ, 09-Jan-2023,64.7,66.35,67.5,65.5,67.2,66.65,66.59,414829,276.23,2019,166834,40.22
ARIHANTSUP, EQ, 09-Jan-2023,224.35,226.75,232.4,224,228,225.4,228.22,82817,189.01,2649,16895,20.4
ARMANFIN, EQ, 09-Jan-2023,1427.1,1445.65,1451.05,1431.35,1450,1445.75,1440.59,2296,33.08,373,1569,68.34
AROGRANITE, EQ, 09-Jan-2023,50.7,52.4,52.4,48.7,49.5,49.55,50.18,32401,16.26,686,12744,39.33
ARROWGREEN, EQ, 09-Jan-2023,172.9,170,177.9,170,175,173.9,174.47,4954,8.64,232,2764,55.79
ARSHIYA, EQ, 09-Jan-2023,8.85,9.1,9.15,8.65,8.7,8.7,8.82,177895,15.7,466,143040,80.41
ARSSINFRA, BE, 09-Jan-2023,22.55,23.65,23.65,23.65,23.65,23.65,23.65,21903,5.18,51, -, -
ARTEMISMED, EQ, 09-Jan-2023,73.45,73.25,74.15,71.85,72.6,72.85,73.11,92136,67.36,2417,44448,48.24
ARTNIRMAN, EQ, 09-Jan-2023,71.2,71.2,74.75,69.9,71.25,71.85,72.86,14241,10.38,283,10278,72.17
ARVEE, BE, 09-Jan-2023,125,123,124,118.75,123,123,119.4,2108,2.52,79, -, -
ARVIND, EQ, 09-Jan-2023,86.4,87,88.75,86.5,88.35,88.4,88.14,986191,869.21,11598,472643,47.93
ARVINDFASN, EQ, 09-Jan-2023,336.55,339.85,344.75,334.35,334.4,336.5,340.41,128305,436.77,6554,66681,51.97
ARVSMART, EQ, 09-Jan-2023,319.2,321.3,326.85,310.6,314.5,315.25,317.02,40724,129.1,3321,20712,50.86
ASAHIINDIA, EQ, 09-Jan-2023,504.7,508.25,513.35,507.1,508,508.75,509.86,28671,146.18,2447,17394,60.67
ASAHISONG, EQ, 09-Jan-2023,262.15,270.8,270.8,258.9,260,259.65,261.54,3629,9.49,438,2026,55.83
ASAL, EQ, 09-Jan-2023,359.1,364.45,366,355.9,359,357.65,362.01,16491,59.7,1200,9244,56.05
ASALCBR, EQ, 09-Jan-2023,425.1,434,434,424,425,425.9,426.54,16168,68.96,1108,9778,60.48
ASCOM, SM, 09-Jan-2023,198.05,200,200,200,200,200,200,4000,8,2,4000,100
ASHAPURMIN, EQ, 09-Jan-2023,92.25,93.15,94.7,92.65,93.8,93.05,93.69,81798,76.64,832,52029,63.61
ASHIANA, EQ, 09-Jan-2023,143.75,144.5,145.1,139.55,141,141.05,142.6,23947,34.15,736,13998,58.45
ASHIMASYN, EQ, 09-Jan-2023,17.4,17.95,17.95,17.35,17.65,17.55,17.61,242732,42.74,378,198497,81.78
ASHOKA, EQ, 09-Jan-2023,85.9,89.05,90.9,87.5,88.35,88.6,89.09,2714042,2417.96,12618,576514,21.24
ASHOKLEY, EQ, 09-Jan-2023,147.75,148.75,151.85,148,151.1,151.35,150.47,13572299,20422.56,77189,6264278,46.15
ASIANENE, EQ, 09-Jan-2023,70.45,72.75,72.75,70.4,70.9,70.85,71.08,21238,15.1,415,14234,67.02
ASIANHOTNR, EQ, 09-Jan-2023,80.45,82.1,83.6,78.35,80,80.65,81.59,2682,2.19,130,1707,63.65
ASIANPAINT, EQ, 09-Jan-2023,2978.4,2993.3,3017.65,2951,2983,2984.15,2989.18,808263,24160.4,84003,409986,50.72
ASIANTILES, EQ, 09-Jan-2023,48.75,49.8,49.95,48.5,48.95,48.95,49.23,380719,187.43,3266,142420,37.41
ASPINWALL, EQ, 09-Jan-2023,229.85,232.5,244.25,230.55,242.4,241.3,235.08,16309,38.34,526,13488,82.7
ASTEC, EQ, 09-Jan-2023,1700.45,1708.95,1728.45,1700.45,1710,1707.65,1712.35,6167,105.6,994,4148,67.26
ASTERDM, EQ, 09-Jan-2023,227.6,228.55,229.35,224.5,225.5,225.5,226.05,199679,451.38,4958,142343,71.29
ASTRAL, EQ, 09-Jan-2023,2060.25,2074.4,2100,2060.25,2088,2092.75,2079.52,327314,6806.55,27301,125900,38.46
ASTRAMICRO, EQ, 09-Jan-2023,283.6,286.4,295.5,286.15,287.05,288.05,291.43,643905,1876.52,10153,329464,51.17
ASTRAZEN, EQ, 09-Jan-2023,3353.05,3359.15,3395.8,3340,3384,3378.55,3358.14,4187,140.61,1154,2657,63.46
ASTRON, EQ, 09-Jan-2023,31.65,32.1,32.4,31.6,31.85,31.8,32.02,45742,14.65,397,19200,41.97
ATALREAL, SM, 09-Jan-2023,73.45,73,74,69.25,73.5,73.5,71.69,475200,340.65,63,244800,51.52
ATFL, EQ, 09-Jan-2023,822,824,824,808.55,816,813.65,815.81,1219,9.94,324,615,50.45
ATGL, EQ, 09-Jan-2023,3555.4,3591,3666,3576.6,3644,3629,3609.78,471678,17026.55,28083,129607,27.48
ATLANTA, EQ, 09-Jan-2023,18.95,19.85,19.85,18.05,18.65,18.85,19.31,159952,30.88,757,107838,67.42
ATUL, EQ, 09-Jan-2023,7829.05,7868,7869.95,7682.2,7766,7770.75,7763.82,32188,2499.02,6448,14702,45.68
ATULAUTO, EQ, 09-Jan-2023,274.8,276.4,281,276,277.55,278.55,278.78,75177,209.57,3600,36553,48.62
AUBANK, EQ, 09-Jan-2023,625.8,635,635.7,627,632.7,633.2,630.8,1012950,6389.66,29946,606206,59.85
AURDIS, SM, 09-Jan-2023,132,138.4,138.4,135,135,135,137.27,6000,8.24,3,6000,100
AURIONPRO, EQ, 09-Jan-2023,374.8,380,383.85,365.9,370.8,368.4,373.3,31933,119.21,1551,16492,51.65
AUROPHARMA, EQ, 09-Jan-2023,442.05,444.25,448,440.05,442,441.55,442.89,587711,2602.93,20719,202911,34.53
AURUM, EQ, 09-Jan-2023,119,121.9,121.9,117.6,118.5,118.15,118.86,13235,15.73,512,7995,60.41
AURUMPP, X1, 09-Jan-2023,58.5,59,59.05,57.5,57.55,57.55,58.3,4035,2.35,26,3935,97.52
AUSOMENT, EQ, 09-Jan-2023,70.6,70.4,72.4,70,70.05,70.05,70.59,2582,1.82,69,2357,91.29
AUTOAXLES, EQ, 09-Jan-2023,1993.5,2007.95,2150,1995,2143,2134.6,2108.35,57227,1206.54,7422,25341,44.28
AUTOBEES, EQ, 09-Jan-2023,127.67,127.11,129.15,127.11,129,128.85,128.79,47445,61.11,492,28006,59.03
AUTOIND, EQ, 09-Jan-2023,77.05,77,81.15,77,79.65,79.9,80.08,178453,142.91,1115,140347,78.65
AVADHSUGAR, EQ, 09-Jan-2023,509.9,513.4,519.5,508.25,511.8,511.75,514.23,44753,230.13,3067,14576,32.57
AVANTIFEED, EQ, 09-Jan-2023,383.15,386,388.45,382,383,383.3,384.57,51414,197.72,2928,26304,51.16
AVG, SM, 09-Jan-2023,118.8,116.25,118,116.25,118,118,117.13,2400,2.81,2,2400,100
AVONMORE, EQ, 09-Jan-2023,72.55,73.3,74.2,71.15,71.35,72.25,72.62,8716,6.33,323,5567,63.87
AVROIND, EQ, 09-Jan-2023,147.6,153.85,153.85,142.65,148,148.4,146.77,33100,48.58,882,20512,61.97
AVTNPL, EQ, 09-Jan-2023,106.95,108.7,108.7,105.6,106.5,106.45,107.35,62929,67.55,2131,35355,56.18
AWHCL, EQ, 09-Jan-2023,310.75,311.3,316.9,306.7,307,307.45,309.76,37407,115.87,2483,22143,59.19
AWL, EQ, 09-Jan-2023,568.35,577.5,596.75,574,585.75,585.55,589.55,2765775,16305.64,48261,791580,28.62
